"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","latCost","actCost","totCost"
2895516,2882378,13123,0,7,8,465383,419393,45935,11,33,11,2.03502e+09,5.28603e+09,7.32106e+09
2896686,2883574,13097,1,7,7,465789,419808,45928,9,33,11,2.03832e+09,5.29413e+09,7.33245e+09
2897853,2884774,13063,1,7,8,466187,420215,45916,9,36,11,2.03959e+09,5.30168e+09,7.34127e+09
2899022,2885986,13019,1,7,9,466584,420603,45923,8,39,11,2.0425e+09,5.30904e+09,7.35154e+09
2900193,2887198,12976,1,9,9,466984,421007,45916,9,41,11,2.04578e+09,5.31695e+09,7.36273e+09
2901366,2888412,12937,1,8,8,467389,421395,45935,8,40,11,2.04906e+09,5.32409e+09,7.37316e+09
2902535,2889629,12890,1,7,8,467782,421776,45947,9,39,11,2.0536e+09,5.33132e+09,7.38492e+09
2903710,2890840,12853,1,8,8,468180,422173,45950,9,36,12,2.05599e+09,5.33882e+09,7.39481e+09
2904879,2892042,12820,0,10,7,468577,422585,45935,9,36,12,2.05888e+09,5.3466e+09,7.40547e+09
2906053,2893250,12783,0,13,7,468987,422992,45936,7,38,14,2.06139e+09,5.35459e+09,7.41598e+09
2907228,2894453,12753,0,14,8,469398,423391,45949,5,38,15,2.06377e+09,5.36182e+09,7.42559e+09
2908405,2895677,12706,0,14,8,469794,423788,45947,6,37,16,2.06539e+09,5.37022e+09,7.43561e+09
2909577,2896891,12666,0,13,7,470192,424201,45932,7,37,15,2.06914e+09,5.3786e+09,7.44774e+09
2910753,2898096,12637,1,12,7,470586,424594,45933,8,37,14,2.07325e+09,5.38589e+09,7.45915e+09
2911935,2899311,12605,1,11,7,470978,425002,45919,8,35,14,2.07612e+09,5.39406e+09,7.47018e+09
2913107,2900527,12561,1,11,7,471373,425412,45906,8,34,13,2.08047e+09,5.40171e+09,7.48218e+09
2914291,2901732,12540,1,11,7,471759,425812,45890,8,36,13,2.08084e+09,5.40921e+09,7.49005e+09
2915471,2902938,12514,1,12,6,472162,426213,45893,9,34,13,2.08654e+09,5.41636e+09,7.50291e+09
2916653,2904161,12473,1,12,6,472563,426623,45887,9,33,11,2.091e+09,5.42449e+09,7.51548e+09
2917833,2905381,12433,1,13,5,472965,427021,45892,9,35,8,2.09631e+09,5.43176e+09,7.52807e+09
2919017,2906593,12405,1,13,5,473363,427424,45885,9,37,8,2.09668e+09,5.43954e+09,7.53622e+09
2920202,2907823,12361,1,12,5,473776,427818,45904,9,36,9,2.09865e+09,5.44739e+09,7.54605e+09
2921388,2909043,12329,1,10,5,474170,428234,45885,9,33,9,2.10678e+09,5.45574e+09,7.56252e+09
2922569,2910268,12286,1,9,5,474557,428654,45849,7,36,11,2.10788e+09,5.46404e+09,7.57192e+09
2923749,2911494,12241,1,8,5,474962,429061,45847,8,36,10,2.10935e+09,5.47176e+09,7.58112e+09
2924934,2912720,12201,1,7,5,475369,429482,45834,8,36,9,2.1134e+09,5.48035e+09,7.59375e+09
2926120,2913945,12164,1,6,4,475769,429904,45812,9,35,9,2.11694e+09,5.48866e+09,7.6056e+09
2927308,2915181,12115,1,7,4,476169,430311,45804,10,36,8,2.11768e+09,5.49676e+09,7.61444e+09
2928494,2916411,12071,1,7,4,476578,430725,45796,11,36,10,2.12133e+09,5.50522e+09,7.62656e+09
2929679,2917630,12034,1,10,4,476979,431117,45804,12,35,11,2.12255e+09,5.51207e+09,7.63462e+09
2930868,2918855,11997,1,12,3,477377,431537,45783,12,35,10,2.12413e+09,5.52083e+09,7.64496e+09
2932057,2920070,11973,1,12,1,477773,431944,45768,12,37,12,2.12692e+09,5.52793e+09,7.65486e+09
2933249,2921297,11938,0,12,2,478161,432347,45755,13,33,13,2.12874e+09,5.53539e+09,7.66413e+09
2934440,2922526,11899,0,13,2,478561,432749,45756,11,33,12,2.13225e+09,5.5426e+09,7.67486e+09
2935629,2923748,11866,0,12,3,478964,433150,45756,10,36,12,2.13624e+09,5.54954e+09,7.68578e+09
2936821,2924990,11816,0,12,3,479365,433550,45754,10,39,12,2.1366e+09,5.55796e+09,7.69456e+09
2938008,2926215,11776,1,12,4,479765,433935,45770,11,37,12,2.13817e+09,5.56483e+09,7.703e+09
2939194,2927440,11737,1,12,4,480168,434324,45786,10,35,13,2.13925e+09,5.57155e+09,7.71081e+09
2940392,2928685,11690,0,12,5,480573,434707,45806,12,35,13,2.14034e+09,5.57903e+09,7.71937e+09
2941584,2929914,11653,0,12,5,480971,435108,45807,10,32,14,2.1419e+09,5.58691e+09,7.7288e+09
2942779,2931133,11628,0,13,5,481380,435502,45821,11,30,16,2.14417e+09,5.59338e+09,7.73755e+09
2943972,2932359,11594,0,13,6,481789,435917,45817,9,29,17,2.14645e+09,5.60105e+09,7.74749e+09
2945173,2933584,11571,0,12,6,482179,436310,45814,9,29,17,2.15039e+09,5.60759e+09,7.75797e+09
2946367,2934824,11526,0,11,6,482575,436720,45801,9,29,16,2.15587e+09,5.61533e+09,7.7712e+09
2947562,2936054,11490,0,13,5,482982,437126,45802,8,30,16,2.15897e+09,5.62278e+09,7.78176e+09
2948759,2937282,11461,0,12,4,483384,437551,45778,9,32,14,2.16325e+09,5.63068e+09,7.79393e+09
2949954,2938513,11424,0,12,5,483786,437922,45801,11,36,16,2.16325e+09,5.63705e+09,7.8003e+09
2951155,2939744,11394,0,12,5,484182,438327,45788,11,40,16,2.16444e+09,5.64443e+09,7.80887e+09
2952351,2940981,11354,0,11,5,484592,438729,45793,8,43,19,2.16917e+09,5.65211e+09,7.82128e+09
2953549,2942222,11311,0,11,5,484998,439151,45783,8,38,18,2.17331e+09,5.66031e+09,7.83362e+09
2954747,2943459,11274,0,8,6,485396,439539,45792,10,38,17,2.17756e+09,5.66713e+09,7.84469e+09
2955951,2944697,11239,0,9,6,485801,439950,45782,11,41,17,2.17827e+09,5.67473e+09,7.853e+09
2957150,2945937,11198,0,9,6,486202,440349,45787,11,39,16,2.18404e+09,5.68206e+09,7.86609e+09
2958359,2947174,11170,0,9,6,486602,440743,45789,9,43,18,2.18639e+09,5.68893e+09,7.87532e+09
2959561,2948408,11139,0,8,6,487005,441129,45807,10,40,19,2.19167e+09,5.69518e+09,7.88685e+09
2960762,2949644,11103,0,8,7,487407,441521,45819,10,39,18,2.19507e+09,5.70221e+09,7.89728e+09
2961966,2950872,11078,0,8,8,487803,441922,45812,10,40,19,2.19659e+09,5.70923e+09,7.90582e+09
2963168,2952103,11049,0,8,8,488211,442321,45823,11,40,16,2.20079e+09,5.71581e+09,7.9166e+09
2964372,2953333,11024,0,7,8,488609,442723,45818,12,39,17,2.20336e+09,5.72254e+09,7.9259e+09
2965576,2954575,10987,0,7,7,489016,443115,45831,13,40,17,2.20487e+09,5.72971e+09,7.93458e+09
